Registry Name,ID,Name,Type,Min Level,Max Level,Rarity,Slots,Class
minecraft:protection,0,enchantment.protect.all,ARMOR,1,1,COMMON,"head, chest, legs, feet",net.minecraft.enchantment.EnchantmentProtection
minecraft:fire_protection,1,enchantment.protect.fire,ARMOR,1,1,UNCOMMON,"head, chest, legs, feet",net.minecraft.enchantment.EnchantmentProtection
minecraft:feather_falling,2,enchantment.protect.fall,ARMOR_FEET,1,1,UNCOMMON,"head, chest, legs, feet",net.minecraft.enchantment.EnchantmentProtection
minecraft:blast_protection,3,enchantment.protect.explosion,ARMOR,1,1,RARE,"head, chest, legs, feet",net.minecraft.enchantment.EnchantmentProtection
minecraft:projectile_protection,4,enchantment.protect.projectile,ARMOR,1,1,UNCOMMON,"head, chest, legs, feet",net.minecraft.enchantment.EnchantmentProtection
minecraft:respiration,5,enchantment.oxygen,ARMOR_HEAD,1,1,RARE,"head, chest, legs, feet",net.minecraft.enchantment.EnchantmentOxygen
minecraft:aqua_affinity,6,enchantment.waterWorker,ARMOR_HEAD,1,1,RARE,"head, chest, legs, feet",net.minecraft.enchantment.EnchantmentWaterWorker
minecraft:thorns,7,enchantment.thorns,ARMOR_CHEST,1,1,VERY_RARE,"head, chest, legs, feet",net.minecraft.enchantment.EnchantmentThorns
minecraft:depth_strider,8,enchantment.waterWalker,ARMOR_FEET,1,1,RARE,"head, chest, legs, feet",net.minecraft.enchantment.EnchantmentWaterWalker
minecraft:frost_walker,9,enchantment.frostWalker,ARMOR_FEET,1,1,RARE,feet,net.minecraft.enchantment.EnchantmentFrostWalker
minecraft:binding_curse,10,enchantment.binding_curse,WEARABLE,1,1,VERY_RARE,"head, chest, legs, feet",net.minecraft.enchantment.EnchantmentBindingCurse
bibliocraft:bibliocraft.deathcompassench,11,Eternal Compass,ALL,1,1,VERY_RARE,"mainhand, offhand",jds.bibliocraft.enchantments.EnchantmentDeathCompass
bibliocraft:bibliocraft.readingench,12,Reading,ARMOR_HEAD,1,1,UNCOMMON,head,jds.bibliocraft.enchantments.EnchantmentReading
evilcraft:unusing,13,enchantment.enchantments.unusing,ALL,1,1,VERY_RARE,mainhand,org.cyclops.evilcraft.enchantment.EnchantmentUnusing
evilcraft:breaking,14,enchantment.enchantments.breaking,BREAKABLE,1,1,COMMON,mainhand,org.cyclops.evilcraft.enchantment.EnchantmentBreaking
evilcraft:life_stealing,15,enchantment.enchantments.life_stealing,WEAPON,1,1,UNCOMMON,mainhand,org.cyclops.evilcraft.enchantment.EnchantmentLifeStealing
minecraft:sharpness,16,enchantment.damage.all,WEAPON,1,1,COMMON,mainhand,net.minecraft.enchantment.EnchantmentDamage
minecraft:smite,17,enchantment.damage.undead,WEAPON,1,1,UNCOMMON,mainhand,net.minecraft.enchantment.EnchantmentDamage
minecraft:bane_of_arthropods,18,enchantment.damage.arthropods,WEAPON,1,1,UNCOMMON,mainhand,net.minecraft.enchantment.EnchantmentDamage
minecraft:knockback,19,enchantment.knockback,WEAPON,1,1,UNCOMMON,mainhand,net.minecraft.enchantment.EnchantmentKnockback
minecraft:fire_aspect,20,enchantment.fire,WEAPON,1,1,RARE,mainhand,net.minecraft.enchantment.EnchantmentFireAspect
minecraft:looting,21,enchantment.lootBonus,WEAPON,1,1,RARE,mainhand,net.minecraft.enchantment.EnchantmentLootBonus
minecraft:sweeping,22,enchantment.sweeping,WEAPON,1,1,RARE,mainhand,net.minecraft.enchantment.EnchantmentSweepingEdge
evilcraft:poison_tip,23,enchantment.enchantments.poison_tip,BOW,1,1,RARE,mainhand,org.cyclops.evilcraft.enchantment.EnchantmentPoisonTip
evilcraft:vengeance,24,enchantment.enchantments.vengeance,ALL,1,1,COMMON,mainhand,org.cyclops.evilcraft.enchantment.EnchantmentVengeance
silentgems:lifesteal,25,enchantment.silentgems:LifeSteal,WEAPON,1,1,RARE,mainhand,net.silentchaos512.gems.enchantment.EnchantmentLifeSteal
silentgems:magicdamage,26,enchantment.silentgems:MagicDamage,WEAPON,1,1,UNCOMMON,mainhand,net.silentchaos512.gems.enchantment.EnchantmentMagicDamage
silentgems:gravity,27,enchantment.silentgems:Gravity,DIGGER,1,1,VERY_RARE,mainhand,net.silentchaos512.gems.enchantment.EnchantmentGravity
silentgems:iceaspect,28,enchantment.silentgems:IceAspect,WEAPON,1,1,RARE,mainhand,net.silentchaos512.gems.enchantment.EnchantmentIceAspect
silentgems:lightningaspect,29,enchantment.silentgems:LightningAspect,WEAPON,1,1,RARE,mainhand,net.silentchaos512.gems.enchantment.EnchantmentLightningAspect
astralsorcery:enchantment.as.nightvision,30,enchantment.as.nightvision,ARMOR,1,1,VERY_RARE,head,hellfirepvp.astralsorcery.common.enchantment.EnchantmentNightVision
astralsorcery:enchantment.as.smelting,31,enchantment.as.smelting,DIGGER,1,1,VERY_RARE,mainhand,hellfirepvp.astralsorcery.common.enchantment.EnchantmentScorchingHeat
minecraft:efficiency,32,enchantment.digging,DIGGER,1,1,COMMON,mainhand,net.minecraft.enchantment.EnchantmentDigging
minecraft:silk_touch,33,enchantment.untouching,DIGGER,1,1,VERY_RARE,mainhand,net.minecraft.enchantment.EnchantmentUntouching
minecraft:unbreaking,34,enchantment.durability,BREAKABLE,1,1,UNCOMMON,mainhand,net.minecraft.enchantment.EnchantmentDurability
minecraft:fortune,35,enchantment.lootBonusDigger,DIGGER,1,1,RARE,mainhand,net.minecraft.enchantment.EnchantmentLootBonus
cofhcore:holding,36,enchantment.cofhcore.holding,ALL,1,1,UNCOMMON,"mainhand, offhand, feet, legs, chest, head",cofh.core.enchantment.EnchantmentHolding
cofhcore:insight,37,enchantment.cofhcore.insight,DIGGER,1,1,UNCOMMON,mainhand,cofh.core.enchantment.EnchantmentInsight
cofhcore:leech,38,enchantment.cofhcore.leech,WEAPON,1,1,UNCOMMON,mainhand,cofh.core.enchantment.EnchantmentLeech
cofhcore:multishot,39,enchantment.cofhcore.multishot,BOW,1,1,UNCOMMON,mainhand,cofh.core.enchantment.EnchantmentMultishot
cofhcore:smelting,40,enchantment.cofhcore.smelting,DIGGER,1,1,RARE,"mainhand, offhand, feet, legs, chest, head",cofh.core.enchantment.EnchantmentSmelting
cofhcore:vorpal,41,enchantment.cofhcore.vorpal,WEAPON,1,1,RARE,mainhand,cofh.core.enchantment.EnchantmentVorpal
cyclicmagic:enchantment.waterwalking,42,enchantment.waterwalking,ARMOR_FEET,1,1,VERY_RARE,feet,com.lothrazar.cyclicmagic.enchantment.EnchantWaterwalking
cyclicmagic:enchantment.reach,43,enchantment.reach,ARMOR_CHEST,1,1,VERY_RARE,chest,com.lothrazar.cyclicmagic.enchantment.EnchantReach
cyclicmagic:enchantment.expboost,44,enchantment.expboost,DIGGER,1,1,VERY_RARE,"mainhand, offhand",com.lothrazar.cyclicmagic.enchantment.EnchantXpBoost
cyclicmagic:enchantment.autosmelt,45,enchantment.autosmelt,DIGGER,1,1,RARE,"mainhand, offhand",com.lothrazar.cyclicmagic.enchantment.EnchantAutoSmelt
cyclicmagic:enchantment.launch,46,enchantment.launch,ARMOR,1,1,COMMON,feet,com.lothrazar.cyclicmagic.enchantment.EnchantLaunch
cyclicmagic:enchantment.magnet,47,enchantment.magnet,ALL,1,1,VERY_RARE,"mainhand, offhand, feet, legs, chest, head",com.lothrazar.cyclicmagic.enchantment.EnchantMagnet
minecraft:power,48,enchantment.arrowDamage,BOW,1,1,COMMON,mainhand,net.minecraft.enchantment.EnchantmentArrowDamage
minecraft:punch,49,enchantment.arrowKnockback,BOW,1,1,RARE,mainhand,net.minecraft.enchantment.EnchantmentArrowKnockback
minecraft:flame,50,enchantment.arrowFire,BOW,1,1,RARE,mainhand,net.minecraft.enchantment.EnchantmentArrowFire
minecraft:infinity,51,enchantment.arrowInfinite,BOW,1,1,VERY_RARE,mainhand,net.minecraft.enchantment.EnchantmentArrowInfinite
cyclicmagic:enchantment.venom,52,enchantment.venom,WEAPON,1,1,COMMON,"mainhand, offhand",com.lothrazar.cyclicmagic.enchantment.EnchantVenom
cyclicmagic:enchantment.lifeleech,53,enchantment.lifeleech,WEAPON,1,1,COMMON,"mainhand, offhand",com.lothrazar.cyclicmagic.enchantment.EnchantLifeLeech
cyclicmagic:enchantment.beheading,54,enchantment.beheading,WEAPON,1,1,VERY_RARE,"mainhand, offhand",com.lothrazar.cyclicmagic.enchantment.EnchantBeheading
cyclicmagic:enchantment.quickdraw,55,enchantment.quickdraw,BOW,1,1,VERY_RARE,"mainhand, offhand",com.lothrazar.cyclicmagic.enchantment.EnchantQuickdraw
minecraft:luck_of_the_sea,61,enchantment.lootBonusFishing,FISHING_ROD,1,1,RARE,mainhand,net.minecraft.enchantment.EnchantmentLootBonus
minecraft:lure,62,enchantment.fishingSpeed,FISHING_ROD,1,1,RARE,mainhand,net.minecraft.enchantment.EnchantmentFishingSpeed
minecraft:mending,70,enchantment.mending,BREAKABLE,1,1,RARE,"mainhand, offhand, feet, legs, chest, head",net.minecraft.enchantment.EnchantmentMending
minecraft:vanishing_curse,71,enchantment.vanishing_curse,ALL,1,1,VERY_RARE,"mainhand, offhand, feet, legs, chest, head",net.minecraft.enchantment.EnchantmentVanishingCurse
